iso3,year,crisis_next_12m,banking_crisis_next_12m,currency_crisis_next_12m,debt_crisis_next_12m,crisis_any,banking_crisis,currency_crisis,debt_crisis,inflation,gdp_growth,unemployment,fed_funds_rate,real_interest_rate_10y
AGO,1960.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,3.21,
AGO,1961.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,1.95,
AGO,1962.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,2.71,
AGO,1963.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,3.18,
AGO,1964.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,3.5,
AGO,1965.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,4.08,
AGO,1966.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,5.11,
AGO,1967.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,4.22,
AGO,1968.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,5.66,
AGO,1969.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,8.21,
AGO,1970.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,7.17,
AGO,1971.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,4.67,
AGO,1972.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,4.44,
AGO,1973.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,8.74,
AGO,1974.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,10.51,
AGO,1975.0,1.0,0.0,0.0,1.0,0,0,0,0,,,,5.82,
AGO,1976.0,0.0,0.0,0.0,0.0,1,0,0,1,,,,5.05,
AGO,1977.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,5.54,
AGO,1978.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,7.94,
AGO,1979.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,11.2,
AGO,1980.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,13.35,
AGO,1981.0,0.0,0.0,0.0,0.0,0,0,0,0,,-4.40000121865036,,16.39,
AGO,1982.0,0.0,0.0,0.0,0.0,0,0,0,0,,0.0,,12.24,6.9346889958333335
AGO,1983.0,0.0,0.0,0.0,0.0,0,0,0,0,,4.20000142853753,,9.09,5.888257380833333
AGO,1984.0,1.0,0.0,0.0,1.0,0,0,0,0,,6.00000216509056,14.2,10.23,6.6373992374999995
AGO,1985.0,1.0,0.0,0.0,1.0,1,0,0,1,,3.49999949008608,14.9,8.1,5.660392525833333
AGO,1986.0,1.0,0.0,0.0,1.0,1,0,0,1,,2.90000174246853,18.9,6.8,4.048303089166667
AGO,1987.0,1.0,0.0,0.0,1.0,1,0,0,1,,4.08274863510731,,6.66,4.218014031666667
AGO,1988.0,1.0,0.0,0.0,1.0,1,0,0,1,,6.12889047765088,,7.57,4.452901190833333
